#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               True        0.5      2.2      0                   14                  TwinsLower         True                 all_matrices/cov_mat_0107.fits    
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               True        0.5      2.2      0                   14                  NIRLower           True                 all_matrices/cov_mat_0108.fits    
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               True        0.5      2.2      0                   14                  NIRLower           False                all_matrices/cov_mat_0109.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               False       0.4      1.7      0                   18                  TwinsLower         True                 all_matrices/cov_mat_0110.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               False       0.4      1.7      0                   18                  NIRLower           True                 all_matrices/cov_mat_0111.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               False       0.4      1.7      0                   18                  NIRLower           False                all_matrices/cov_mat_0112.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               True        0.4      1.7      0                   18                  TwinsLower         True                 all_matrices/cov_mat_0113.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               True        0.4      1.7      0                   18                  NIRLower           True                 all_matrices/cov_mat_0114.fits    
0.500     000             000             34        00800        RRZYJHF               RRZYJH                06                    06                    5               True        0.4      1.7      0                   18                  NIRLower           False                all_matrices/cov_mat_0115.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               False       0.5      2.3      0                   8.1                 TwinsLower         True                 all_matrices/cov_mat_0116.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               False       0.5      2.3      0                   8.1                 NIRLower           True                 all_matrices/cov_mat_0117.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               False       0.5      2.3      0                   8.1                 NIRLower           False                all_matrices/cov_mat_0118.fits    
0.500     000             000             32        00800        RRZJH                 ZZRYJHF               08                    08                    5               True        0.5      2.3      0                   8.1                 TwinsLower         True                 all_matrices/cov_mat_0119.fits    
